Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Afghanistan,AFG,2019,945.6453857
Africa,,2019,4245.71875
Albania,ALB,2019,11266.25781
Algeria,DZA,2019,16140.19629
American Samoa,ASM,2019,26023.66992
Angola,AGO,2019,3429.592773
Antigua and Barbuda,ATG,2019,31384.86328
Argentina,ARG,2019,20785.91406
Armenia,ARM,2019,15538.20117
Aruba,ABW,2019,51178.58594
Asia,,2019,18390.95117
Australia,AUS,2019,66614.88281
Austria,AUT,2019,47818.35938
Azerbaijan,AZE,2019,17979.77148
Bahamas,BHS,2019,41170.375
Bahrain,BHR,2019,145193.2813
Bangladesh,BGD,2019,2775.810303
Barbados,BRB,2019,24536.79297
Belarus,BLR,2019,32671.71484
Belgium,BEL,2019,64934.01953
Belize,BLZ,2019,9246.844727
Benin,BEN,2019,2482.886475
Bermuda,BMU,2019,51712.70703
Bhutan,BTN,2019,29338.07617
Bolivia,BOL,2019,7940.383301
Bosnia and Herzegovina,BIH,2019,21068.46484
Botswana,BWA,2019,9992.323242
Brazil,BRA,2019,16525.10938
British Virgin Islands,VGB,2019,23485.60742
Brunei,BRN,2019,121637.2578
Bulgaria,BGR,2019,30017.48633
Burkina Faso,BFA,2019,946.6964722
Burundi,BDI,2019,318.7487488
Cambodia,KHM,2019,3994.236816
Cameroon,CMR,2019,1814.028931
Canada,CAN,2019,108631.0625
Cape Verde,CPV,2019,7776.237793
Cayman Islands,CYM,2019,51434.83594
Central African Republic,CAF,2019,328.4351196
Chad,TCD,2019,461.7154236
Chile,CHL,2019,25430.22656
China,CHN,2019,27883.20898
Colombia,COL,2019,10647.37402
Comoros,COM,2019,1567.063477
Congo,COG,2019,4734.881836
Cook Islands,COK,2019,27921.37695
Costa Rica,CRI,2019,13158.58984
Cote d'Ivoire,CIV,2019,2410.60791
Croatia,HRV,2019,23197.64648
Cuba,CUB,2019,9608.341797
Cyprus,CYP,2019,27110.13281
Czechia,CZE,2019,44705.38672
Democratic Republic of Congo,COD,2019,402.0620117
Denmark,DNK,2019,33887.26563
Djibouti,DJI,2019,2598.322998
Dominica,DMA,2019,10994.0791
Dominican Republic,DOM,2019,11434.63477
Ecuador,ECU,2019,12162.4834
Egypt,EGY,2019,10436.38965
El Salvador,SLV,2019,7069.96582
Equatorial Guinea,GNQ,2019,16879.89844
Eritrea,ERI,2019,945.1412354
Estonia,EST,2019,47190.81641
Eswatini,SWZ,2019,5678.396484
Ethiopia,ETH,2019,943.6289673
Europe,,2019,40577.69531
European Union (27),,2019,38560.12109
Faeroe Islands,FRO,2019,80176.88281
Falkland Islands,FLK,2019,61361.54297
Fiji,FJI,2019,9642.426758
Finland,FIN,2019,59174.64844
France,FRA,2019,41949.10156
French Guiana,GUF,2019,16525.94141
French Polynesia,PYF,2019,16894.35742
Gabon,GAB,2019,7848.57666
Gambia,GMB,2019,1039.447998
Georgia,GEO,2019,18547.29688
Germany,DEU,2019,44244.88281
Ghana,GHA,2019,3294.342529
Greece,GRC,2019,29698.73828
Greenland,GRL,2019,62156.11719
Grenada,GRD,2019,11660.63379
Guadeloupe,GLP,2019,21482.74805
Guam,GUM,2019,44771.29297
Guatemala,GTM,2019,5688.776855
Guinea,GIN,2019,1211.761719
Guinea-Bissau,GNB,2019,721.2616577
Guyana,GUY,2019,14245.79785
Haiti,HTI,2019,1163.586426
High-income countries,,2019,58034.76563
Honduras,HND,2019,5802.885254
Hong Kong,HKG,2019,46358.28125
Hungary,HUN,2019,28394.32617
Iceland,ISL,2019,186788.25
India,IND,2019,6941.969727
Indonesia,IDN,2019,8977.151367
Iran,IRN,2019,39347.41797
Iraq,IRQ,2019,15723.45215
Ireland,IRL,2019,38240.21875
Israel,ISR,2019,35454.75781
Italy,ITA,2019,30077.87695
Jamaica,JAM,2019,14562.76367
Japan,JPN,2019,40524.43359
Jordan,JOR,2019,11483.71875
Kazakhstan,KAZ,2019,45458.39844
Kenya,KEN,2019,1849.1698
Kiribati,KIR,2019,2738.874268
Kuwait,KWT,2019,113976.2578
Kyrgyzstan,KGZ,2019,10274.88867
Laos,LAO,2019,21448.95508
Latvia,LVA,2019,23499.80273
Lebanon,LBN,2019,15613.75
Lesotho,LSO,2019,2292.675537
Liberia,LBR,2019,1111.514282
Libya,LBY,2019,25863.94727
Lithuania,LTU,2019,25427.3125
Low-income countries,,2019,1250.311279
Lower-middle-income countries,,2019,6695.161133
Luxembourg,LUX,2019,76797.96875
Macao,MAC,2019,23858.01367
Madagascar,MDG,2019,676.539917
Malawi,MWI,2019,530.1196899
Malaysia,MYS,2019,38858.89063
Maldives,MDV,2019,17493.39063
Mali,MLI,2019,1289.118286
Malta,MLT,2019,91685.14844
Martinique,MTQ,2019,24598.06836
Mauritania,MRT,2019,3976.341797
Mauritius,MUS,2019,23277.91797
Mexico,MEX,2019,16507.16992
Micronesia (country),FSM,2019,6334.11084
Moldova,MDA,2019,10373.6875
Mongolia,MNG,2019,24337.97266
Montenegro,MNE,2019,22650.16797
Montserrat,MSR,2019,27374.03711
Morocco,MAR,2019,7223.973145
Mozambique,MOZ,2019,2377.498047
Myanmar,MMR,2019,3129.777344
Namibia,NAM,2019,8737.738281
Nauru,NRU,2019,24818.05273
Nepal,NPL,2019,1529.663818
Netherlands,NLD,2019,57643.90625
New Caledonia,NCL,2019,78605.58594
New Zealand,NZL,2019,55161.75781
Nicaragua,NIC,2019,4371.559082
Niger,NER,2019,451.224884
Nigeria,NGA,2019,2481.222412
Niue,NIU,2019,19974.88281
North America,,2019,56842.36328
North Korea,PRK,2019,3695.700195
North Macedonia,MKD,2019,14905.75977
Northern Mariana Islands,MNP,2019,0
Norway,NOR,2019,95756.6875
Oceania,,2019,46115.36328
Oman,OMN,2019,76099.51563
Pakistan,PAK,2019,4541.509766
Palestine,PSE,2019,3991.268066
Panama,PAN,2019,28998.33789
Papua New Guinea,PNG,2019,3316.351318
Paraguay,PRY,2019,18397.52148
Peru,PER,2019,10507.8457
Philippines,PHL,2019,5204.539063
Poland,POL,2019,31269.9375
Portugal,PRT,2019,28655.55273
Puerto Rico,PRI,2019,27927.33789
Qatar,QAT,2019,206620.5313
Reunion,REU,2019,15930.8877
Romania,ROU,2019,20002.61523
Russia,RUS,2019,57172.55469
Rwanda,RWA,2019,499.5462341
Saint Helena,SHN,2019,8870.779297
Saint Kitts and Nevis,KNA,2019,21073.54102
Saint Lucia,LCA,2019,14909.16895
Saint Pierre and Miquelon,SPM,2019,64130.15234
Saint Vincent and the Grenadines,VCT,2019,8153.638672
Samoa,WSM,2019,7959.014648
Sao Tome and Principe,STP,2019,3411.550781
Saudi Arabia,SAU,2019,87468.54688
Senegal,SEN,2019,2703.498535
Serbia,SRB,2019,22784.41602
Seychelles,SYC,2019,47767.85156
Sierra Leone,SLE,2019,528.336731
Singapore,SGP,2019,169094.9844
Slovakia,SVK,2019,33873.65234
Slovenia,SVN,2019,38530.51563
Solomon Islands,SLB,2019,2038.201538
Somalia,SOM,2019,235.5066681
South Africa,ZAF,2019,25440.29297
South America,,2019,16209.31348
South Korea,KOR,2019,67844.16406
South Sudan,SSD,2019,704.5518188
Spain,ESP,2019,34049.9375
Sri Lanka,LKA,2019,5072.591309
Sudan,SDN,2019,2359.674072
Suriname,SUR,2019,24136.25586
Sweden,SWE,2019,64719.82422
Switzerland,CHE,2019,39084.58594
Syria,SYR,2019,7324.689941
Taiwan,TWN,2019,56552.41016
Tajikistan,TJK,2019,8101.675781
Tanzania,TZA,2019,977.6470337
Thailand,THA,2019,21887.79492
Timor,TLS,2019,1682.186646
Togo,TGO,2019,1205.38501
Tonga,TON,2019,6694.15332
Trinidad and Tobago,TTO,2019,138404.7344
Tunisia,TUN,2019,10435.09375
Turkey,TUR,2019,21986.7793
Turkmenistan,TKM,2019,66438.78125
Turks and Caicos Islands,TCA,2019,25774.60742
Tuvalu,TUV,2019,0
Uganda,UGA,2019,862.4026489
Ukraine,UKR,2019,21768.2168
United Arab Emirates,ARE,2019,129299.2813
United Kingdom,GBR,2019,32361.2168
United States,USA,2019,80749
United States Virgin Islands,VIR,2019,95009.97656
Upper-middle-income countries,,2019,25579.2207
Uruguay,URY,2019,19607.18164
Uzbekistan,UZB,2019,16210.30371
Vanuatu,VUT,2019,3187.939697
Venezuela,VEN,2019,20353.38477
Vietnam,VNM,2019,12496.14648
Western Sahara,ESH,2019,1867.787476
World,OWID_WRL,2019,21154.44727
Yemen,YEM,2019,1598.113647
Zambia,ZMB,2019,3398.124268
Zimbabwe,ZWE,2019,3374.877197
