,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person)
0,0,Aruba,38221.11731,ABW,51178.58594
1,2,Afghanistan,2065.036235,AFG,945.6453857
2,4,Angola,6712.021615,AGO,3429.592773
3,5,Albania,13653.20157,ALB,11266.25781
4,8,United Arab Emirates,68263.67553,ARE,129299.2813
5,9,Argentina,22066.10101,ARG,20785.91406
6,10,Armenia,13653.76338,ARM,15538.20117
7,11,American Samoa,,ASM,26023.66992
8,12,Antigua and Barbuda,21850.13341,ATG,31384.86328
9,13,Australia,49309.1124,AUS,66614.88281
10,14,Austria,55833.5599,AUT,47818.35938
11,15,Azerbaijan,14442.04087,AZE,17979.77148
12,16,Burundi,751.4434047,BDI,318.7487488
13,17,Belgium,51937.42361,BEL,64934.01953
14,18,Benin,3287.309538,BEN,2482.886475
15,19,Burkina Faso,2175.50468,BFA,946.6964722
16,20,Bangladesh,5550.032778,BGD,2775.810303
17,21,Bulgaria,23265.87692,BGR,30017.48633
18,22,Bahrain,45311.8683,BHR,145193.2813
19,24,Bosnia and Herzegovina,14896.79651,BIH,21068.46484
20,25,Belarus,19279.20925,BLR,32671.71484
21,26,Belize,7152.657414,BLZ,9246.844727
22,27,Bermuda,81681.72667,BMU,51712.70703
23,28,Bolivia,8724.474187,BOL,7940.383301
24,29,Brazil,14736.15606,BRA,16525.10938
25,30,Barbados,15499.80821,BRB,24536.79297
26,32,Bhutan,11864.76625,BTN,29338.07617
27,33,Botswana,16404.44491,BWA,9992.323242
28,34,Central African Republic,946.0596566,CAF,328.4351196
29,35,Canada,49171.51109,CAN,108631.0625
30,37,Switzerland,70944.35481,CHE,39084.58594
31,39,Chile,24931.12188,CHL,25430.22656
32,40,China,15977.76383,CHN,27883.20898
33,41,Cote d'Ivoire,5212.554021,CIV,2410.60791
34,42,Cameroon,3742.856779,CMR,1814.028931
35,45,Colombia,14571.99095,COL,10647.37402
36,46,Comoros,3058.980105,COM,1567.063477
37,48,Costa Rica,20970.54415,CRI,13158.58984
38,50,Cuba,,CUB,9608.341797
39,52,Cayman Islands,73724.96695,CYM,51434.83594
40,53,Cyprus,41521.92188,CYP,27110.13281
41,54,Czechia,40981.05651,CZE,44705.38672
42,55,Germany,53929.63929,DEU,44244.88281
43,56,Djibouti,5260.015344,DJI,2598.322998
44,57,Dominica,12329.82527,DMA,10994.0791
45,58,Denmark,57161.68639,DNK,33887.26563
46,59,Dominican Republic,18412.89999,DOM,11434.63477
47,60,Algeria,11521.98421,DZA,16140.19629
48,66,Ecuador,11370.6033,ECU,12162.4834
49,69,Eritrea,,ERI,945.1412354
50,70,Spain,40802.48774,ESP,34049.9375
51,71,Estonia,36401.10885,EST,47190.81641
52,72,Ethiopia,2221.404665,ETH,943.6289673
53,75,Finland,48582.58759,FIN,59174.64844
54,76,Fiji,13684.29169,FJI,9642.426758
55,77,France,46017.76596,FRA,41949.10156
56,80,Gabon,14945.85929,GAB,7848.57666
57,81,United Kingdom,47368.58441,GBR,32361.2168
58,82,Georgia,14989.25816,GEO,18547.29688
59,83,Ghana,5540.045627,GHA,3294.342529
60,85,Guinea,2566.322989,GIN,1211.761719
61,87,Guinea-Bissau,1939.28951,GNB,721.2616577
62,88,Equatorial Guinea,18600.39178,GNQ,16879.89844
63,89,Greece,29698.03048,GRC,29698.73828
64,90,Grenada,16867.57213,GRD,11660.63379
65,91,Greenland,,GRL,62156.11719
66,92,Guatemala,8653.308195,GTM,5688.776855
67,93,Guam,,GUM,44771.29297
68,94,Guyana,13082.18148,GUY,14245.79785
69,97,Honduras,5736.181633,HND,5802.885254
70,99,Croatia,29336.08545,HRV,23197.64648
71,100,Haiti,3073.32914,HTI,1163.586426
72,101,Hungary,32553.69447,HUN,28394.32617
73,106,Indonesia,11812.10243,IDN,8977.151367
74,109,India,6689.365354,IND,6941.969727
75,111,Ireland,86650.00466,IRL,38240.21875
76,113,Iraq,10889.8025,IRQ,15723.45215
77,114,Iceland,56935.77273,ISL,186788.25
78,115,Israel,40626.21527,ISR,35454.75781
79,116,Italy,42746.29575,ITA,30077.87695
80,117,Jamaica,9777.005686,JAM,14562.76367
81,118,Jordan,10071.37989,JOR,11483.71875
82,119,Japan,41697.41194,JPN,40524.43359
83,120,Kazakhstan,26351.80444,KAZ,45458.39844
84,121,Kenya,4459.210605,KEN,1849.1698
85,123,Cambodia,4388.800909,KHM,3994.236816
86,124,Kiribati,2102.782035,KIR,2738.874268
87,127,Kuwait,49946.73126,KWT,113976.2578
88,130,Lebanon,14493.37237,LBN,15613.75
89,131,Liberia,1469.763959,LBR,1111.514282
90,132,Libya,21842.61925,LBY,25863.94727
91,138,Sri Lanka,13079.53863,LKA,5072.591309
92,141,Lesotho,2656.115855,LSO,2292.675537
93,143,Lithuania,37166.21008,LTU,25427.3125
94,144,Luxembourg,116518.2768,LUX,76797.96875
95,145,Latvia,31012.1351,LVA,23499.80273
96,148,Morocco,7546.754883,MAR,7223.973145
97,150,Moldova,13026.51597,MDA,10373.6875
98,151,Madagascar,1618.532561,MDG,676.539917
99,152,Maldives,19510.49184,MDV,17493.39063
100,154,Mexico,19675.44067,MEX,16507.16992
101,157,North Macedonia,16773.04057,MKD,14905.75977
102,158,Mali,2321.702199,MLI,1289.118286
103,159,Malta,45396.73229,MLT,91685.14844
104,160,Myanmar,4739.710438,MMR,3129.777344
105,162,Montenegro,21533.93209,MNE,22650.16797
106,163,Mongolia,12486.07746,MNG,24337.97266
107,164,Northern Mariana Islands,,MNP,0.0
108,165,Mozambique,1281.780014,MOZ,2377.498047
109,166,Mauritania,5343.997921,MRT,3976.341797
110,167,Mauritius,22869.75631,MUS,23277.91797
111,168,Malawi,1537.141177,MWI,530.1196899
112,169,Malaysia,28421.46248,MYS,38858.89063
113,170,North America,61097.01899,,56842.36328
114,171,Namibia,9809.218482,NAM,8737.738281
115,172,New Caledonia,,NCL,78605.58594
116,173,Niger,1224.375135,NER,451.224884
117,174,Nigeria,5135.499469,NGA,2481.222412
118,175,Nicaragua,5445.729533,NIC,4371.559082
119,176,Netherlands,56784.03725,NLD,57643.90625
120,177,Norway,64385.00599,NOR,95756.6875
121,178,Nepal,3952.760349,NPL,1529.663818
122,179,Nauru,13525.77285,NRU,24818.05273
123,180,New Zealand,43110.37124,NZL,55161.75781
124,182,Oman,31284.01636,OMN,76099.51563
125,184,Pakistan,5317.774364,PAK,4541.509766
126,185,Panama,31440.26353,PAN,28998.33789
127,186,Peru,12858.3263,PER,10507.8457
128,187,Philippines,8914.723798,PHL,5204.539063
129,189,Papua New Guinea,4292.609429,PNG,3316.351318
130,190,Poland,33185.15813,POL,31269.9375
131,192,Puerto Rico,34804.94346,PRI,27927.33789
132,194,Portugal,34945.66134,PRT,28655.55273
133,195,Paraguay,12615.52865,PRY,18397.52148
134,199,French Polynesia,,PYF,16894.35742
135,200,Qatar,90043.799,QAT,206620.5313
136,201,Romania,29875.06277,ROU,20002.61523
137,203,Rwanda,2227.515571,RWA,499.5462341
138,205,Saudi Arabia,46999.93814,SAU,87468.54688
139,206,Sudan,4173.566406,SDN,2359.674072
140,207,Senegal,3368.262274,SEN,2703.498535
141,208,Singapore,98283.30891,SGP,169094.9844
142,209,Solomon Islands,2660.514892,SLB,2038.201538
143,210,Sierra Leone,1705.191452,SLE,528.336731
144,211,El Salvador,8776.119516,SLV,7069.96582
145,213,Somalia,1186.450871,SOM,235.5066681
146,214,Serbia,18306.78524,SRB,22784.41602
147,216,South Sudan,,SSD,704.5518188
148,219,Sao Tome and Principe,4005.341623,STP,3411.550781
149,220,Suriname,19036.74504,SUR,24136.25586
150,222,Slovenia,38946.68538,SVN,38530.51563
151,223,Sweden,52850.56918,SWE,64719.82422
152,224,Eswatini,8652.922717,SWZ,5678.396484
153,226,Seychelles,29365.99966,SYC,47767.85156
154,228,Turks and Caicos Islands,29251.07773,TCA,25774.60742
155,229,Chad,1579.626101,TCD,461.7154236
156,232,Togo,2121.899918,TGO,1205.38501
157,233,Thailand,18438.64738,THA,21887.79492
158,234,Tajikistan,3581.409187,TJK,8101.675781
159,235,Turkmenistan,15538.41997,TKM,66438.78125
160,239,Tonga,6377.35552,TON,6694.15332
161,242,Trinidad and Tobago,26827.29412,TTO,138404.7344
162,243,Tunisia,11420.84973,TUN,10435.09375
163,245,Tuvalu,4527.683995,TUV,0.0
164,246,Tanzania,2660.637451,TZA,977.6470337
165,247,Uganda,2182.899761,UGA,862.4026489
166,248,Ukraine,12804.95508,UKR,21768.2168
167,250,Uruguay,23032.73404,URY,19607.18164
168,251,United States,62458.75335,USA,80749.0
169,252,Uzbekistan,7348.146883,UZB,16210.30371
170,255,British Virgin Islands,,VGB,23485.60742
171,257,Vietnam,10134.25903,VNM,12496.14648
172,258,Vanuatu,3116.594618,VUT,3187.939697
173,259,World,16973.69566,OWID_WRL,21154.44727
174,260,Samoa,6627.838501,WSM,7959.014648
175,263,South Africa,13709.96637,ZAF,25440.29297
176,264,Zambia,3470.435511,ZMB,3398.124268
177,265,Zimbabwe,2310.634802,ZWE,3374.877197
