,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person),Region
0,2,Afghanistan,2065.036235,AFG,945.6453857,South Asia
1,4,Angola,6712.021615,AGO,3429.592773,Sub-Saharan Africa
2,5,Albania,13653.20157,ALB,11266.25781,Europe & Central Asia
3,8,United Arab Emirates,68263.67553,ARE,129299.2813,Middle East & North Africa
4,9,Argentina,22066.10101,ARG,20785.91406,Latin America & Carribean
5,10,Armenia,13653.76338,ARM,15538.20117,Europe & Central Asia
6,12,Antigua and Barbuda,21850.13341,ATG,31384.86328,Latin America & Carribean
7,13,Australia,49309.1124,AUS,66614.88281,East Asia & Pacific
8,14,Austria,55833.5599,AUT,47818.35938,Europe & Central Asia
9,15,Azerbaijan,14442.04087,AZE,17979.77148,Europe & Central Asia
10,16,Burundi,751.4434047,BDI,318.7487488,Sub-Saharan Africa
11,17,Belgium,51937.42361,BEL,64934.01953,Europe & Central Asia
12,18,Benin,3287.309538,BEN,2482.886475,Sub-Saharan Africa
13,19,Burkina Faso,2175.50468,BFA,946.6964722,Sub-Saharan Africa
14,20,Bangladesh,5550.032778,BGD,2775.810303,South Asia
15,21,Bulgaria,23265.87692,BGR,30017.48633,Europe & Central Asia
16,22,Bahrain,45311.8683,BHR,145193.2813,Middle East & North Africa
17,24,Bosnia and Herzegovina,14896.79651,BIH,21068.46484,Europe & Central Asia
18,25,Belarus,19279.20925,BLR,32671.71484,Europe & Central Asia
19,26,Belize,7152.657414,BLZ,9246.844727,Latin America & Carribean
20,28,Bolivia,8724.474187,BOL,7940.383301,Latin America & Carribean
21,29,Brazil,14736.15606,BRA,16525.10938,Latin America & Carribean
22,30,Barbados,15499.80821,BRB,24536.79297,Latin America & Carribean
23,32,Bhutan,11864.76625,BTN,29338.07617,South Asia
24,33,Botswana,16404.44491,BWA,9992.323242,Sub-Saharan Africa
25,34,Central African Republic,946.0596566,CAF,328.4351196,Sub-Saharan Africa
26,35,Canada,49171.51109,CAN,108631.0625,North America
27,37,Switzerland,70944.35481,CHE,39084.58594,Europe & Central Asia
28,39,Chile,24931.12188,CHL,25430.22656,Latin America & Carribean
29,40,China,15977.76383,CHN,27883.20898,East Asia & Pacific
30,41,Cote d'Ivoire,5212.554021,CIV,2410.60791,Sub-Saharan Africa
31,42,Cameroon,3742.856779,CMR,1814.028931,Sub-Saharan Africa
32,45,Colombia,14571.99095,COL,10647.37402,Latin America & Carribean
33,46,Comoros,3058.980105,COM,1567.063477,Sub-Saharan Africa
34,48,Costa Rica,20970.54415,CRI,13158.58984,Latin America & Carribean
35,52,Cayman Islands,73724.96695,CYM,51434.83594,Latin America & Carribean
36,53,Cyprus,41521.92188,CYP,27110.13281,Europe & Central Asia
37,54,Czechia,40981.05651,CZE,44705.38672,Europe & Central Asia
38,55,Germany,53929.63929,DEU,44244.88281,Europe & Central Asia
39,56,Djibouti,5260.015344,DJI,2598.322998,Middle East & North Africa
40,57,Dominica,12329.82527,DMA,10994.0791,Latin America & Carribean
41,58,Denmark,57161.68639,DNK,33887.26563,Europe & Central Asia
42,59,Dominican Republic,18412.89999,DOM,11434.63477,Latin America & Carribean
43,60,Algeria,11521.98421,DZA,16140.19629,Middle East & North Africa
44,66,Ecuador,11370.6033,ECU,12162.4834,Latin America & Carribean
45,70,Spain,40802.48774,ESP,34049.9375,Europe & Central Asia
46,71,Estonia,36401.10885,EST,47190.81641,Europe & Central Asia
47,72,Ethiopia,2221.404665,ETH,943.6289673,Sub-Saharan Africa
48,75,Finland,48582.58759,FIN,59174.64844,Europe & Central Asia
49,76,Fiji,13684.29169,FJI,9642.426758,East Asia & Pacific
50,77,France,46017.76596,FRA,41949.10156,Europe & Central Asia
51,80,Gabon,14945.85929,GAB,7848.57666,Sub-Saharan Africa
52,81,United Kingdom,47368.58441,GBR,32361.2168,Europe & Central Asia
53,82,Georgia,14989.25816,GEO,18547.29688,Europe & Central Asia
54,83,Ghana,5540.045627,GHA,3294.342529,Sub-Saharan Africa
55,85,Guinea,2566.322989,GIN,1211.761719,Sub-Saharan Africa
56,87,Guinea-Bissau,1939.28951,GNB,721.2616577,Sub-Saharan Africa
57,88,Equatorial Guinea,18600.39178,GNQ,16879.89844,Sub-Saharan Africa
58,89,Greece,29698.03048,GRC,29698.73828,Europe & Central Asia
59,90,Grenada,16867.57213,GRD,11660.63379,Latin America & Carribean
60,92,Guatemala,8653.308195,GTM,5688.776855,Latin America & Carribean
61,94,Guyana,13082.18148,GUY,14245.79785,Latin America & Carribean
62,97,Honduras,5736.181633,HND,5802.885254,Latin America & Carribean
63,99,Croatia,29336.08545,HRV,23197.64648,Europe & Central Asia
64,100,Haiti,3073.32914,HTI,1163.586426,Latin America & Carribean
65,101,Hungary,32553.69447,HUN,28394.32617,Europe & Central Asia
66,106,Indonesia,11812.10243,IDN,8977.151367,East Asia & Pacific
67,109,India,6689.365354,IND,6941.969727,South Asia
68,111,Ireland,86650.00466,IRL,38240.21875,Europe & Central Asia
69,113,Iraq,10889.8025,IRQ,15723.45215,Middle East & North Africa
70,114,Iceland,56935.77273,ISL,186788.25,Europe & Central Asia
71,115,Israel,40626.21527,ISR,35454.75781,Middle East & North Africa
72,116,Italy,42746.29575,ITA,30077.87695,Europe & Central Asia
73,117,Jamaica,9777.005686,JAM,14562.76367,Latin America & Carribean
74,118,Jordan,10071.37989,JOR,11483.71875,Middle East & North Africa
75,119,Japan,41697.41194,JPN,40524.43359,East Asia & Pacific
76,120,Kazakhstan,26351.80444,KAZ,45458.39844,Europe & Central Asia
77,121,Kenya,4459.210605,KEN,1849.1698,Sub-Saharan Africa
78,123,Cambodia,4388.800909,KHM,3994.236816,East Asia & Pacific
79,124,Kiribati,2102.782035,KIR,2738.874268,East Asia & Pacific
80,127,Kuwait,49946.73126,KWT,113976.2578,Middle East & North Africa
81,130,Lebanon,14493.37237,LBN,15613.75,Middle East & North Africa
82,131,Liberia,1469.763959,LBR,1111.514282,Sub-Saharan Africa
83,132,Libya,21842.61925,LBY,25863.94727,Middle East & North Africa
84,138,Sri Lanka,13079.53863,LKA,5072.591309,South Asia
85,141,Lesotho,2656.115855,LSO,2292.675537,Sub-Saharan Africa
86,143,Lithuania,37166.21008,LTU,25427.3125,Europe & Central Asia
87,144,Luxembourg,116518.2768,LUX,76797.96875,Europe & Central Asia
88,145,Latvia,31012.1351,LVA,23499.80273,Europe & Central Asia
89,148,Morocco,7546.754883,MAR,7223.973145,Middle East & North Africa
90,150,Moldova,13026.51597,MDA,10373.6875,Europe & Central Asia
91,151,Madagascar,1618.532561,MDG,676.539917,Sub-Saharan Africa
92,152,Maldives,19510.49184,MDV,17493.39063,South Asia
93,154,Mexico,19675.44067,MEX,16507.16992,Latin America & Carribean
94,157,North Macedonia,16773.04057,MKD,14905.75977,Europe & Central Asia
95,158,Mali,2321.702199,MLI,1289.118286,Sub-Saharan Africa
96,159,Malta,45396.73229,MLT,91685.14844,Middle East & North Africa
97,162,Montenegro,21533.93209,MNE,22650.16797,Europe & Central Asia
98,163,Mongolia,12486.07746,MNG,24337.97266,East Asia & Pacific
99,165,Mozambique,1281.780014,MOZ,2377.498047,Sub-Saharan Africa
100,166,Mauritania,5343.997921,MRT,3976.341797,Sub-Saharan Africa
101,167,Mauritius,22869.75631,MUS,23277.91797,Sub-Saharan Africa
102,168,Malawi,1537.141177,MWI,530.1196899,Sub-Saharan Africa
103,169,Malaysia,28421.46248,MYS,38858.89063,East Asia & Pacific
104,171,Namibia,9809.218482,NAM,8737.738281,Sub-Saharan Africa
105,173,Niger,1224.375135,NER,451.224884,Sub-Saharan Africa
106,174,Nigeria,5135.499469,NGA,2481.222412,Sub-Saharan Africa
107,175,Nicaragua,5445.729533,NIC,4371.559082,Latin America & Carribean
108,176,Netherlands,56784.03725,NLD,57643.90625,Europe & Central Asia
109,177,Norway,64385.00599,NOR,95756.6875,Europe & Central Asia
110,178,Nepal,3952.760349,NPL,1529.663818,South Asia
111,179,Nauru,13525.77285,NRU,24818.05273,East Asia & Pacific
112,180,New Zealand,43110.37124,NZL,55161.75781,East Asia & Pacific
113,182,Oman,31284.01636,OMN,76099.51563,Middle East & North Africa
114,184,Pakistan,5317.774364,PAK,4541.509766,South Asia
115,185,Panama,31440.26353,PAN,28998.33789,Latin America & Carribean
116,186,Peru,12858.3263,PER,10507.8457,Latin America & Carribean
117,187,Philippines,8914.723798,PHL,5204.539063,East Asia & Pacific
118,189,Papua New Guinea,4292.609429,PNG,3316.351318,East Asia & Pacific
119,190,Poland,33185.15813,POL,31269.9375,Europe & Central Asia
120,192,Puerto Rico,34804.94346,PRI,27927.33789,Latin America & Carribean
121,194,Portugal,34945.66134,PRT,28655.55273,Europe & Central Asia
122,195,Paraguay,12615.52865,PRY,18397.52148,Latin America & Carribean
123,200,Qatar,90043.799,QAT,206620.5313,Middle East & North Africa
124,201,Romania,29875.06277,ROU,20002.61523,Europe & Central Asia
125,203,Rwanda,2227.515571,RWA,499.5462341,Sub-Saharan Africa
126,205,Saudi Arabia,46999.93814,SAU,87468.54688,Middle East & North Africa
127,206,Sudan,4173.566406,SDN,2359.674072,Sub-Saharan Africa
128,207,Senegal,3368.262274,SEN,2703.498535,Sub-Saharan Africa
129,208,Singapore,98283.30891,SGP,169094.9844,East Asia & Pacific
130,209,Solomon Islands,2660.514892,SLB,2038.201538,East Asia & Pacific
131,210,Sierra Leone,1705.191452,SLE,528.336731,Sub-Saharan Africa
132,211,El Salvador,8776.119516,SLV,7069.96582,Latin America & Carribean
133,213,Somalia,1186.450871,SOM,235.5066681,Sub-Saharan Africa
134,214,Serbia,18306.78524,SRB,22784.41602,Europe & Central Asia
135,219,Sao Tome and Principe,4005.341623,STP,3411.550781,Sub-Saharan Africa
136,220,Suriname,19036.74504,SUR,24136.25586,Latin America & Carribean
137,222,Slovenia,38946.68538,SVN,38530.51563,Europe & Central Asia
138,223,Sweden,52850.56918,SWE,64719.82422,Europe & Central Asia
139,224,Eswatini,8652.922717,SWZ,5678.396484,Sub-Saharan Africa
140,226,Seychelles,29365.99966,SYC,47767.85156,Sub-Saharan Africa
141,228,Turks and Caicos Islands,29251.07773,TCA,25774.60742,Latin America & Carribean
142,229,Chad,1579.626101,TCD,461.7154236,Sub-Saharan Africa
143,232,Togo,2121.899918,TGO,1205.38501,Sub-Saharan Africa
144,233,Thailand,18438.64738,THA,21887.79492,East Asia & Pacific
145,234,Tajikistan,3581.409187,TJK,8101.675781,Europe & Central Asia
146,235,Turkmenistan,15538.41997,TKM,66438.78125,Europe & Central Asia
147,239,Tonga,6377.35552,TON,6694.15332,East Asia & Pacific
148,242,Trinidad and Tobago,26827.29412,TTO,138404.7344,Latin America & Carribean
149,243,Tunisia,11420.84973,TUN,10435.09375,Middle East & North Africa
150,246,Tanzania,2660.637451,TZA,977.6470337,Sub-Saharan Africa
151,247,Uganda,2182.899761,UGA,862.4026489,Sub-Saharan Africa
152,248,Ukraine,12804.95508,UKR,21768.2168,Europe & Central Asia
153,250,Uruguay,23032.73404,URY,19607.18164,Latin America & Carribean
154,251,United States,62458.75335,USA,80749.0,North America
155,252,Uzbekistan,7348.146883,UZB,16210.30371,Europe & Central Asia
156,257,Vietnam,10134.25903,VNM,12496.14648,East Asia & Pacific
157,258,Vanuatu,3116.594618,VUT,3187.939697,East Asia & Pacific
158,260,Samoa,6627.838501,WSM,7959.014648,East Asia & Pacific
159,263,South Africa,13709.96637,ZAF,25440.29297,Sub-Saharan Africa
160,264,Zambia,3470.435511,ZMB,3398.124268,Sub-Saharan Africa
161,265,Zimbabwe,2310.634802,ZWE,3374.877197,Sub-Saharan Africa
